,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
43,2024-09-22,Montpellier,Auxerre,3.0,2.0,H,0.0,1.0,A,2.0,3.0,13.0,9.0,1.0,2.0,6.0,5.0,1,3,L,L,L,L,L,L,D,W,M,M,5
44,2024-09-22,Olympique Lyon,Marseille,2.0,3.0,A,0.0,0.0,D,4.0,12.0,8.0,4.0,1.0,7.0,3.0,1.0,4,10,D,W,W,W,L,D,L,W,M,M,5
45,2024-09-27,Auxerre,Brest,3.0,0.0,H,2.0,0.0,H,5.0,8.0,12.0,10.0,3.0,5.0,5.0,6.0,3,6,L,W,L,L,L,W,L,L,M,M,6
46,2024-09-27,PSG,Stade Rennais,3.0,1.0,H,1.0,0.0,H,17.0,9.0,4.0,6.0,6.0,6.0,2.0,2.0,13,7,D,D,W,W,W,L,W,L,M,M,6
47,2024-09-28,RC Lens,Nice,0.0,0.0,D,0.0,0.0,D,5.0,14.0,2.0,6.0,3.0,9.0,1.0,2.0,9,7,D,W,D,L,D,W,W,D,M,M,6
48,2024-09-28,Le Havre,Lille,0.0,3.0,A,0.0,2.0,A,7.0,8.0,10.0,7.0,2.0,4.0,3.0,5.0,6,7,L,D,L,L,W,L,W,W,M,M,6
49,2024-09-28,Monaco,Montpellier,2.0,1.0,H,1.0,1.0,D,10.0,5.0,2.0,15.0,4.0,1.0,1.0,7.0,13,4,W,W,W,L,D,L,W,L,M,M,6
50,2024-09-29,Toulouse,Olympique Lyon,1.0,2.0,A,1.0,1.0,D,4.0,6.0,6.0,11.0,0.0,1.0,3.0,3.0,5,4,L,L,W,D,L,W,D,L,D,L,6
51,2024-09-29,Nantes,Saint-Étienne,2.0,2.0,D,1.0,0.0,H,7.0,1.0,4.0,15.0,5.0,1.0,3.0,9.0,8,3,D,L,L,W,W,L,W,L,D,L,6
52,2024-09-29,Angers SCO,Stade de Reims,1.0,3.0,A,0.0,2.0,A,3.0,7.0,9.0,7.0,1.0,3.0,6.0,4.0,2,8,D,D,D,W,L,W,L,D,L,L,6
53,2024-09-29,Strasbourg,Marseille,1.0,0.0,H,1.0,0.0,H,11.0,15.0,10.0,6.0,5.0,7.0,3.0,1.0,6,13,D,W,D,W,L,W,W,D,D,W,6
54,2024-10-04,Marseille,Angers SCO,1.0,1.0,D,0.0,0.0,D,15.0,4.0,7.0,12.0,7.0,1.0,2.0,8.0,13,2,L,L,W,D,W,D,W,L,D,L,7
55,2024-10-05,Saint-Étienne,Auxerre,3.0,1.0,H,1.0,0.0,H,3.0,8.0,17.0,12.0,1.0,5.0,10.0,5.0,4,6,D,W,L,L,W,L,L,L,L,L,7
56,2024-10-05,Lille,Toulouse,2.0,1.0,H,0.0,1.0,A,11.0,5.0,7.0,8.0,6.0,1.0,5.0,4.0,10,5,W,L,D,L,L,W,L,L,W,D,7
57,2024-10-05,Stade Rennais,Monaco,1.0,2.0,A,1.0,2.0,A,10.0,12.0,9.0,3.0,6.0,5.0,3.0,2.0,7,16,L,W,D,W,W,W,L,D,L,W,7
58,2024-10-06,Olympique Lyon,Nantes,2.0,0.0,H,1.0,0.0,H,8.0,9.0,12.0,6.0,2.0,6.0,4.0,3.0,7,9,W,D,L,D,D,L,W,W,L,W,7
59,2024-10-06,Brest,Le Havre,2.0,0.0,H,1.0,0.0,H,8.0,7.0,13.0,13.0,5.0,2.0,8.0,5.0,6,6,L,L,W,L,L,L,W,W,L,W,7
60,2024-10-06,Strasbourg,RC Lens,2.0,2.0,D,1.0,2.0,A,12.0,5.0,10.0,2.0,6.0,3.0,3.0,1.0,9,10,W,D,D,D,D,D,L,D,W,W,7
61,2024-10-06,Stade de Reims,Montpellier,4.0,2.0,H,2.0,1.0,H,10.0,6.0,8.0,17.0,5.0,2.0,4.0,8.0,11,4,W,L,D,W,W,L,W,L,D,L,7
62,2024-10-06,Nice,PSG,1.0,1.0,D,1.0,0.0,H,14.0,20.0,6.0,5.0,9.0,7.0,2.0,2.0,8,16,D,W,W,D,L,W,W,W,D,W,7
63,2024-10-18,Monaco,Lille,0.0,0.0,D,0.0,0.0,D,14.0,13.0,4.0,8.0,7.0,6.0,3.0,6.0,19,13,W,W,W,W,W,D,W,L,D,L,8
64,2024-10-19,Brest,Stade Rennais,1.0,1.0,D,0.0,0.0,D,10.0,11.0,13.0,11.0,6.0,7.0,8.0,5.0,9,7,W,L,L,L,W,D,L,W,W,L,8
65,2024-10-19,Saint-Étienne,RC Lens,0.0,2.0,A,0.0,1.0,A,6.0,7.0,18.0,4.0,2.0,5.0,10.0,2.0,7,11,W,D,D,D,L,D,W,D,L,D,8
66,2024-10-19,PSG,Strasbourg,4.0,2.0,H,1.0,0.0,H,21.0,14.0,6.0,12.0,7.0,7.0,3.0,5.0,17,10,D,D,W,W,D,D,W,D,W,L,8
67,2024-10-20,Le Havre,Olympique Lyon,0.0,4.0,A,0.0,1.0,A,7.0,10.0,15.0,12.0,2.0,3.0,6.0,4.0,6,10,L,W,L,W,L,L,L,D,W,W,8
68,2024-10-20,Auxerre,Stade de Reims,2.0,1.0,H,1.0,0.0,H,9.0,14.0,15.0,10.0,5.0,7.0,6.0,5.0,6,14,L,W,W,W,L,D,L,W,L,W,8
69,2024-10-20,Toulouse,Angers SCO,1.0,1.0,D,0.0,1.0,A,6.0,5.0,10.0,13.0,2.0,1.0,4.0,8.0,5,3,L,D,L,L,L,D,W,D,L,L,8
70,2024-10-20,Nantes,Nice,1.0,1.0,D,0.0,0.0,D,9.0,15.0,8.0,7.0,6.0,10.0,4.0,2.0,9,9,L,D,D,D,D,W,L,L,W,W,8
