,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
45,2024-09-15,Girona,Barça,1.0,4.0,A,0.0,2.0,7.0,13.0,4.0,3.0,2.0,5.0,2.0,3.0,7,12,W,W,W,W,L,W,D,W,M,M,5
46,2024-09-15,Las Palmas,Athletic,2.0,3.0,A,0.0,2.0,4.0,3.0,7.0,4.0,2.0,3.0,2.0,1.0,2,4,L,L,D,W,L,L,D,D,M,M,5
47,2024-09-15,Atleti,Valencia,3.0,0.0,H,1.0,0.0,6.0,3.0,2.0,7.0,3.0,3.0,2.0,5.0,8,1,W,D,D,L,W,L,D,L,M,M,5
48,2024-09-16,Rayo Vallecano,Osasuna,3.0,1.0,H,0.0,1.0,4.0,5.0,5.0,7.0,2.0,2.0,1.0,3.0,4,7,L,W,L,L,D,W,W,D,M,M,5
49,2024-09-17,Mallorca,Real Sociedad,1.0,0.0,H,1.0,0.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,5,4,W,D,D,L,L,W,D,L,M,M,5
50,2024-09-18,Real Betis,Getafe,2.0,1.0,H,0.0,0.0,5.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,8,3,W,L,W,L,L,D,D,D,D,D,6
51,2024-09-19,Leganés,Athletic,0.0,2.0,A,0.0,0.0,3.0,6.0,5.0,6.0,1.0,5.0,1.0,1.0,5,7,L,W,L,L,D,W,W,L,D,D,6
52,2024-09-20,Alavés,Sevilla FC,2.0,1.0,H,1.0,0.0,7.0,4.0,6.0,6.0,4.0,3.0,2.0,3.0,7,5,L,W,W,L,W,D,D,L,L,D,6
53,2024-09-21,Valladolid,Real Sociedad,0.0,0.0,D,0.0,0.0,2.0,3.0,13.0,6.0,1.0,1.0,5.0,1.0,4,4,L,L,L,D,D,L,L,W,W,L,6
54,2024-09-21,Osasuna,Las Palmas,2.0,1.0,H,1.0,1.0,6.0,6.0,10.0,10.0,3.0,2.0,3.0,4.0,7,2,L,L,W,L,L,D,W,L,D,D,6
55,2024-09-21,Valencia,Girona,2.0,0.0,H,0.0,0.0,3.0,8.0,10.0,8.0,3.0,2.0,6.0,4.0,1,7,L,L,D,W,L,W,L,L,L,D,6
56,2024-09-21,Real Madrid,Espanyol,4.0,1.0,H,0.0,0.0,9.0,5.0,2.0,5.0,1.0,2.0,1.0,3.0,11,7,W,W,W,W,D,D,W,L,D,L,6
57,2024-09-22,Getafe,Leganés,1.0,1.0,D,0.0,0.0,2.0,3.0,4.0,5.0,0.0,1.0,2.0,1.0,3,5,L,L,L,L,D,D,D,W,D,D,6
58,2024-09-22,Athletic,Celta,3.0,1.0,H,2.0,1.0,6.0,13.0,6.0,10.0,5.0,7.0,1.0,5.0,7,9,W,W,L,L,W,L,L,W,D,W,6
59,2024-09-22,Villarreal,Barça,1.0,5.0,A,1.0,2.0,11.0,17.0,8.0,4.0,6.0,7.0,6.0,3.0,11,15,W,W,D,W,W,W,W,W,D,W,6
60,2024-09-22,Rayo Vallecano,Atleti,1.0,1.0,D,1.0,0.0,8.0,10.0,7.0,3.0,3.0,4.0,2.0,3.0,8,12,D,D,W,W,L,W,L,D,D,W,7
61,2024-09-23,Real Betis,Mallorca,1.0,2.0,A,1.0,1.0,6.0,4.0,6.0,4.0,2.0,2.0,1.0,2.0,8,8,L,W,W,L,W,W,L,D,D,L,7
62,2024-09-24,Sevilla FC,Valladolid,2.0,1.0,H,1.0,0.0,5.0,2.0,8.0,13.0,3.0,1.0,4.0,5.0,5,5,L,D,W,L,L,L,D,D,L,L,7
63,2024-09-24,Valencia,Osasuna,0.0,0.0,D,0.0,0.0,5.0,8.0,10.0,11.0,3.0,4.0,6.0,4.0,4,10,W,W,L,L,D,W,L,L,L,W,7
64,2024-09-24,Real Madrid,Alavés,3.0,2.0,H,2.0,0.0,13.0,9.0,3.0,7.0,1.0,5.0,1.0,2.0,14,10,W,W,W,L,W,W,D,W,W,D,7
65,2024-09-25,Girona,Rayo Vallecano,0.0,0.0,D,0.0,0.0,8.0,8.0,10.0,7.0,2.0,3.0,4.0,2.0,7,8,L,D,L,W,W,L,W,L,L,D,7
66,2024-09-25,Barça,Getafe,1.0,0.0,H,1.0,0.0,22.0,3.0,5.0,5.0,9.0,0.0,4.0,2.0,18,4,W,D,W,L,W,L,W,D,W,D,7
67,2024-09-26,Las Palmas,Real Betis,1.0,1.0,D,1.0,1.0,7.0,6.0,12.0,6.0,3.0,2.0,5.0,1.0,2,8,L,L,L,W,L,W,D,L,L,D,7
68,2024-09-26,Espanyol,Villarreal,1.0,2.0,A,1.0,1.0,6.0,12.0,9.0,13.0,2.0,7.0,3.0,8.0,7,11,L,L,W,W,W,D,D,W,L,W,7
69,2024-09-26,Celta,Atleti,0.0,1.0,A,0.0,0.0,14.0,10.0,13.0,3.0,8.0,4.0,7.0,3.0,9,12,L,D,W,W,L,W,L,D,W,W,7
70,2024-09-27,Valladolid,Mallorca,1.0,2.0,A,0.0,0.0,3.0,6.0,15.0,5.0,1.0,3.0,6.0,3.0,5,11,L,W,D,W,L,L,L,W,D,D,8
71,2024-09-28,Getafe,Alavés,2.0,0.0,H,1.0,0.0,3.0,11.0,6.0,10.0,0.0,5.0,3.0,4.0,4,10,L,L,D,W,L,L,L,W,D,W,8
