,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,HHGD,AHGD,DiffPts,DiffFormPts
24,2024-09-01,Le Havre,Auxerre,1.0673186477020282,-0.323265210203033,1,0.4125503632258759,0.4373125441673211,0,-1.2132649881365967,-1.2663027397269568,-1.178513024131866,-1.2491142167191904,-1.3979642204802138,-1.2306256847747716,-1.2407806658101104,-1.0930767239445476,-0.3194598172518944,-0.3756359025466001,W,L,L,W,M,M,M,M,M,M,-0.811467541354132,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-0.3563687557468703,-0.4029494685159909,-0.6675309400731079,-0.6959857878969222,0.03933868429440588,0.04748173163679326
25,2024-09-01,Reims,Rennes,0.32048173872018004,-0.323265210203033,1,0.4125503632258759,0.4373125441673211,0,-1.2824656354057513,-1.1323866072031579,-1.178513024131866,-1.2491142167191904,-1.3979642204802138,-1.085878815137,-1.0942450306171516,-1.2398323952148804,-1.497077399730948,-0.3756359025466001,D,L,L,W,M,M,M,M,M,M,-1.3409501120877032,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-0.7330159467087278,0.3660918847338058,-1.3464696334185329,0.6737072497514653,-0.921030738789638,-1.403244717489193
26,2024-09-01,Lille,Paris SG,-0.426355170261668,1.2992774794698825,2,-0.8110365095235971,1.6779492183811342,2,-1.144064340867442,-0.7306382096317611,-1.458205589986303,-1.3904314297940532,-1.1001122518717765,-0.9411319454992283,-1.3873163010030691,-1.386588066485213,1.446966556466686,1.428927074645705,W,W,W,W,M,M,M,M,M,M,-0.017243685253775332,-0.05252106635422032,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.526867199062417,3.4422572977329926,1.3692851399631676,2.043400287399853,0.03933868429440588,0.04748173163679326
27,2024-09-13,St Etienne,Lille,-0.426355170261668,-1.1345365550394908,1,0.4125503632258759,-0.8033241300464922,1,-1.4208669299440606,-1.0654285409412585,-0.9687435997410382,-1.2491142167191904,-1.3979642204802138,-1.085878815137,-0.9477093954241929,-1.0930767239445476,-2.085886190970475,0.5266455860495524,L,L,L,W,M,M,M,M,M,M,-1.6056913974544889,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-1.9571193173347645,0.558352223046255,-1.5162043067548892,-0.011139269072728516,-2.121492517644693,-1.5845855236299415
28,2024-09-14,Marseille,Nice,0.32048173872018004,-1.1345365550394908,1,0.4125503632258759,-0.8033241300464922,1,-0.728860457252514,-0.998470474679359,-1.178513024131866,-1.178455610181759,-0.5044083146549017,-0.9411319454992283,-1.2407806658101104,-1.2398323952148804,1.005359963037041,-0.3756359025466001,W,W,D,D,M,M,M,M,M,M,-0.5467262559873465,-0.600840999092281,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.7151907945433458,0.558352223046255,2.5574278533176615,1.0161305091635622,1.1197542852639553,0.04748173163679326
29,2024-09-14,Auxerre,Monaco,-1.173192079243516,1.2992774794698825,2,-0.8110365095235971,1.6779492183811342,2,-1.2132649881365967,-1.1323866072031579,-1.0386667412046475,-1.3904314297940532,-1.1001122518717765,-1.2306256847747716,-0.9477093954241929,-1.386588066485213,-0.7610664106815395,0.9777863303476286,L,D,L,W,M,M,M,M,M,M,-1.6056913974544889,-0.600840999092281,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,-0.8271777444491922,0.8467427305149287,-0.4977962667367516,0.5024956200454169,-1.40121545033166,-2.1286079420521866
30,2024-09-14,Paris SG,Brest,1.0673186477020282,-0.323265210203033,1,0.4125503632258759,0.4373125441673211,0,-0.52125851544505,-1.0654285409412585,-1.3183593070590844,-0.9664797905694645,-0.6533342989591203,-0.9411319454992283,-1.3873163010030691,-0.6528097101335493,1.8885731498963312,-0.8267766468446764,W,W,W,L,W,L,M,M,M,M,0.7769801708465814,-0.8750009654613112,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,3.1276177606503115,-0.5952098068284402,2.5574278533176615,-1.0384090473090193,2.2001698862335046,3.311616242170263
31,2024-09-15,Rennes,Montpellier,1.0673186477020282,-1.1345365550394908,1,1.636137235975349,-0.8033241300464922,1,-1.0748636935982874,-1.2663027397269568,-1.1085898826682568,-0.7545039709571703,-0.9511862675675578,-1.2306256847747716,-1.0942450306171516,-0.7995653814038821,-0.7610664106815395,-1.729058135440829,L,L,L,L,W,D,M,M,M,M,-0.811467541354132,-1.4233208981993717,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.02027843521498709,-2.3255528516404826,0.5206117732813861,-1.5520439364271648,0.7596157516074388,1.1355265684812832
32,2024-09-15,Nantes,Reims,-0.426355170261668,0.48800613463342474,2,0.4125503632258759,0.4373125441673211,0,-1.0748636935982874,-1.1323866072031579,-1.3882824485226937,-1.1077970036443274,-0.9511862675675578,-1.2306256847747716,-1.2407806658101104,-0.9463210526742148,1.005359963037041,-0.3756359025466001,W,W,W,D,D,L,M,M,M,M,0.24749760011301025,-0.600840999092281,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,1.1502200081005596,-0.3068192993597663,1.029815793290455,-1.0384090473090193,1.1197542852639553,1.679548986903528
33,2024-09-15,Strasbourg,Angers,-0.426355170261668,-0.323265210203033,0,0.4125503632258759,-0.8033241300464922,1,-0.9364623990599781,-1.3332608059888562,-1.0386667412046475,-0.9664797905694645,-1.1001122518717765,-1.3753725544125435,-1.2407806658101104,-0.7995653814038821,-0.3194598172518944,-2.180198879738905,L,L,W,L,D,L,M,M,M,M,-0.5467262559873465,-1.697480864568402,-0.23807595834800252,-0.12475657231036107,-0.30339777389595485,-0.15339299776947407,-0.2289527349448127,-0.10783277320343843,-0.2721655269759087,-0.15339299776947407,0.3027638284363802,-1.748771836703135,0.5206117732813861,-2.06567882554531,1.4798928189204719,2.223571405325773
