,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,RES,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
41,2024-09-20,Verona,Torino,2.0,3.0,A,1.0,2.0,A,6.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,6,8,L,D,W,W,L,W,W,D,M,M,5
42,2024-09-21,Venezia FC,Genoa,2.0,0.0,H,0.0,0.0,D,1.0,4.0,8.0,5.0,1.0,2.0,6.0,2.0,1,5,L,D,L,L,D,W,L,D,M,M,5
43,2024-09-21,Juventus,Napoli,0.0,0.0,D,0.0,0.0,D,6.0,9.0,0.0,4.0,4.0,2.0,0.0,1.0,8,9,D,W,D,W,W,W,W,L,M,M,5
44,2024-09-21,Lecce,Parma,2.0,2.0,D,1.0,0.0,H,1.0,6.0,6.0,7.0,1.0,5.0,3.0,0.0,4,4,D,L,W,L,L,W,L,D,M,M,5
45,2024-09-22,Fiorentina,Lazio,2.0,1.0,H,0.0,1.0,A,5.0,8.0,6.0,6.0,3.0,4.0,6.0,4.0,3,7,L,W,D,D,D,L,D,W,M,M,5
46,2024-09-22,Monza,Bologna,1.0,2.0,A,1.0,1.0,D,3.0,4.0,4.0,7.0,2.0,1.0,2.0,3.0,3,3,D,D,D,D,L,L,D,D,M,M,5
47,2024-09-22,Roma,Udinese,3.0,0.0,H,1.0,0.0,H,2.0,7.0,3.0,4.0,1.0,2.0,1.0,2.0,3,10,D,W,D,W,L,W,D,D,M,M,5
48,2024-09-22,Inter,Milan,1.0,2.0,A,1.0,1.0,D,9.0,9.0,3.0,6.0,4.0,5.0,1.0,2.0,8,5,D,W,W,D,W,L,D,D,M,M,5
49,2024-09-24,Atalanta,Como 1907,2.0,3.0,A,1.0,0.0,H,8.0,3.0,8.0,7.0,6.0,1.0,5.0,4.0,6,2,W,D,L,L,L,D,W,L,M,M,5
50,2024-09-27,Milan,Lecce,3.0,0.0,H,3.0,0.0,H,11.0,3.0,7.0,8.0,6.0,2.0,3.0,3.0,8,5,W,D,W,D,D,W,L,L,D,L,6
51,2024-09-28,Udinese,Inter,2.0,3.0,A,1.0,2.0,A,7.0,10.0,7.0,5.0,2.0,5.0,3.0,2.0,10,8,L,L,W,D,W,W,W,W,D,D,6
52,2024-09-28,Genoa,Juventus,0.0,3.0,A,0.0,0.0,D,4.0,6.0,7.0,0.0,2.0,4.0,2.0,0.0,5,9,L,D,D,D,L,D,W,W,D,W,6
53,2024-09-28,Bologna,Atalanta,1.0,1.0,D,0.0,0.0,D,6.0,10.0,8.0,11.0,2.0,7.0,4.0,5.0,6,6,W,L,D,W,D,L,L,L,D,W,6
54,2024-09-29,Torino,Lazio,2.0,3.0,A,0.0,1.0,A,8.0,9.0,5.0,8.0,4.0,5.0,2.0,4.0,11,7,W,L,D,W,W,D,W,L,D,W,6
55,2024-09-29,Como 1907,Verona,3.0,2.0,H,1.0,0.0,H,6.0,8.0,9.0,8.0,1.0,2.0,5.0,6.0,5,6,W,L,D,L,L,W,D,L,L,W,6
56,2024-09-29,Roma,Venezia FC,2.0,1.0,H,0.0,1.0,A,5.0,3.0,3.0,8.0,2.0,1.0,1.0,6.0,6,4,W,W,D,L,D,L,L,D,D,L,6
57,2024-09-29,Empoli,Fiorentina,0.0,0.0,D,0.0,0.0,D,5.0,7.0,2.0,7.0,3.0,3.0,1.0,7.0,9,6,W,W,D,L,D,D,W,D,D,D,6
58,2024-09-29,Napoli,Monza,2.0,0.0,H,2.0,0.0,H,9.0,4.0,4.0,6.0,2.0,3.0,1.0,3.0,10,3,D,L,W,D,W,D,W,L,L,D,6
59,2024-09-30,Parma,Cagliari,2.0,3.0,A,0.0,1.0,A,8.0,1.0,9.0,8.0,5.0,1.0,1.0,3.0,5,2,D,L,L,L,L,L,W,D,D,D,6
60,2024-10-04,Napoli,Como 1907,3.0,1.0,H,1.0,1.0,D,11.0,9.0,4.0,11.0,4.0,2.0,1.0,5.0,13,8,W,W,D,W,W,D,W,L,W,D,7
61,2024-10-04,Verona,Venezia FC,2.0,1.0,H,1.0,1.0,D,10.0,4.0,11.0,10.0,2.0,2.0,7.0,6.0,6,4,L,L,L,W,L,L,W,L,L,D,7
62,2024-10-05,Udinese,Lecce,1.0,0.0,H,0.0,0.0,D,9.0,3.0,10.0,11.0,3.0,2.0,5.0,6.0,10,5,L,L,L,D,W,D,W,W,W,L,7
63,2024-10-05,Atalanta,Genoa,5.0,1.0,H,1.0,0.0,H,11.0,4.0,12.0,10.0,7.0,2.0,5.0,2.0,7,5,D,L,L,L,W,D,L,L,L,W,7
64,2024-10-05,Inter,Torino,3.0,2.0,H,2.0,1.0,H,13.0,10.0,7.0,8.0,7.0,4.0,3.0,3.0,11,11,W,L,L,W,D,D,W,W,W,W,7
65,2024-10-06,Juventus,Cagliari,1.0,1.0,D,1.0,0.0,H,9.0,4.0,0.0,10.0,4.0,2.0,0.0,3.0,12,5,W,W,D,L,D,L,D,L,W,D,7
66,2024-10-06,Bologna,Parma,0.0,0.0,D,0.0,0.0,D,7.0,10.0,9.0,12.0,2.0,5.0,4.0,2.0,7,5,D,L,W,D,D,L,D,L,L,W,7
67,2024-10-06,Lazio,Empoli,2.0,1.0,H,1.0,1.0,D,12.0,5.0,10.0,2.0,6.0,3.0,4.0,1.0,10,10,W,D,L,W,W,D,D,D,L,W,7
68,2024-10-06,Monza,Roma,1.0,1.0,D,0.0,0.0,D,4.0,7.0,8.0,4.0,3.0,2.0,5.0,2.0,3,9,L,W,L,W,D,D,D,D,L,L,7
69,2024-10-06,Fiorentina,Milan,2.0,1.0,H,1.0,0.0,H,7.0,14.0,7.0,7.0,3.0,9.0,7.0,3.0,7,11,D,W,W,W,L,W,D,D,D,L,7
70,2024-10-19,Como 1907,Parma,1.0,1.0,D,1.0,1.0,D,10.0,10.0,14.0,12.0,3.0,5.0,6.0,2.0,8,6,L,D,W,L,W,D,D,L,L,L,8
71,2024-10-19,Genoa,Bologna,2.0,2.0,D,0.0,1.0,A,5.0,7.0,15.0,9.0,2.0,2.0,3.0,4.0,5,8,L,D,L,D,L,W,D,D,L,D,8
72,2024-10-19,Milan,Udinese,1.0,0.0,H,1.0,0.0,H,15.0,10.0,9.0,10.0,9.0,3.0,4.0,5.0,11,13,L,W,W,L,W,L,W,W,D,W,8
73,2024-10-19,Juventus,Lazio,1.0,0.0,H,0.0,0.0,D,10.0,14.0,1.0,11.0,5.0,7.0,0.0,5.0,13,13,D,W,W,W,D,L,D,W,D,D,8
74,2024-10-20,Empoli,Napoli,0.0,1.0,A,0.0,0.0,D,6.0,14.0,4.0,5.0,4.0,5.0,2.0,2.0,10,16,L,W,D,W,W,D,D,W,D,W,8
75,2024-10-20,Lecce,Fiorentina,0.0,6.0,A,0.0,3.0,A,3.0,9.0,12.0,8.0,2.0,4.0,6.0,7.0,5,10,L,W,L,D,D,W,D,L,W,D,8
76,2024-10-20,Venezia FC,Atalanta,0.0,2.0,A,0.0,1.0,A,5.0,16.0,12.0,13.0,3.0,8.0,7.0,5.0,4,10,L,W,L,D,W,L,L,W,L,L,8
77,2024-10-20,Cagliari,Torino,3.0,2.0,H,1.0,1.0,D,5.0,12.0,11.0,11.0,2.0,5.0,4.0,5.0,6,11,D,L,W,L,L,W,L,D,L,W,8
78,2024-10-20,Roma,Inter,0.0,1.0,A,0.0,0.0,D,8.0,16.0,5.0,9.0,2.0,9.0,2.0,4.0,10,14,D,W,W,W,W,L,D,D,D,W,8
79,2024-10-21,Verona,Monza,0.0,3.0,A,0.0,1.0,A,12.0,5.0,12.0,9.0,3.0,3.0,8.0,5.0,9,4,W,D,L,L,L,L,L,D,W,D,8
80,2024-10-25,Udinese,Cagliari,2.0,0.0,H,1.0,0.0,H,10.0,8.0,11.0,13.0,3.0,3.0,6.0,5.0,13,9,L,W,W,D,L,W,L,L,W,L,9
81,2024-10-25,Torino,Como 1907,1.0,0.0,H,0.0,0.0,D,14.0,11.0,14.0,15.0,6.0,4.0,6.0,7.0,11,9,L,D,L,L,L,W,W,W,D,D,9
82,2024-10-26,Napoli,Lecce,1.0,0.0,H,0.0,0.0,D,15.0,3.0,5.0,18.0,5.0,2.0,2.0,9.0,19,5,W,L,W,L,W,L,D,D,W,D,9
83,2024-10-26,Atalanta,Verona,6.0,1.0,H,5.0,1.0,H,18.0,12.0,13.0,15.0,9.0,3.0,5.0,9.0,13,9,W,L,W,W,D,L,L,L,W,L,9
