,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
47,2024-10-05,Bremen,Freiburg,0.0,1.0,A,0.0,0.0,D,8.0,8.0,11.0,7.0,5.0,1.0,8.0,5.0,8,9,W,L,L,W,W,W,D,L,M,M,6
48,2024-10-05,Union Berlin,Dortmund,2.0,1.0,H,2.0,0.0,H,4.0,11.0,3.0,9.0,3.0,4.0,0.0,5.0,8,10,L,W,W,L,D,W,W,D,M,M,6
49,2024-10-05,Bochum,Wolfsburg,1.0,3.0,A,0.0,2.0,A,5.0,10.0,11.0,11.0,5.0,6.0,2.0,5.0,1,4,L,D,D,L,L,L,L,W,M,M,6
50,2024-10-05,St. Pauli,Mainz,0.0,3.0,A,0.0,2.0,A,4.0,8.0,6.0,10.0,2.0,4.0,1.0,5.0,4,5,W,L,D,W,L,L,L,D,L,D,6
51,2024-10-06,Heidenheim,RB Leipzig,0.0,1.0,A,0.0,0.0,D,10.0,8.0,7.0,2.0,4.0,3.0,3.0,2.0,9,11,W,W,L,D,L,D,W,W,W,W,6
52,2024-10-06,Frankfurt,Bayern,3.0,3.0,D,2.0,2.0,D,11.0,17.0,6.0,4.0,5.0,9.0,1.0,1.0,12,13,W,D,W,W,W,W,W,W,L,W,6
53,2024-10-06,Stuttgart,Hoffenheim,1.0,1.0,D,0.0,1.0,A,14.0,9.0,10.0,15.0,7.0,6.0,4.0,9.0,8,3,D,L,W,L,W,L,D,L,L,W,6
54,2024-10-18,Dortmund,St. Pauli,2.0,1.0,H,1.0,0.0,H,12.0,4.0,11.0,9.0,4.0,2.0,7.0,3.0,10,4,L,L,W,W,L,D,W,L,D,L,7
55,2024-10-19,Leverkusen,Frankfurt,2.0,1.0,H,1.0,1.0,D,16.0,14.0,12.0,9.0,11.0,7.0,7.0,3.0,11,13,D,D,D,W,W,W,W,W,L,W,7
56,2024-10-19,Hoffenheim,Bochum,3.0,1.0,H,1.0,0.0,H,10.0,6.0,16.0,14.0,7.0,5.0,9.0,4.0,4,1,D,L,L,L,L,D,L,L,L,L,7
57,2024-10-19,Freiburg,Augsburg,3.0,1.0,H,3.0,0.0,H,9.0,9.0,7.0,15.0,1.0,4.0,5.0,7.0,12,7,W,W,L,L,W,L,W,W,L,L,7
58,2024-10-19,Mainz,RB Leipzig,0.0,2.0,A,0.0,2.0,A,11.0,9.0,10.0,2.0,6.0,3.0,5.0,2.0,8,14,W,W,L,W,W,D,L,D,D,W,7
59,2024-10-19,M'gladbach,Heidenheim,3.0,2.0,H,1.0,1.0,D,7.0,10.0,10.0,8.0,1.0,4.0,5.0,3.0,6,9,L,L,W,W,L,L,L,L,W,W,7
60,2024-10-19,Bayern,Stuttgart,4.0,0.0,H,0.0,0.0,D,20.0,15.0,7.0,11.0,11.0,7.0,3.0,5.0,14,9,D,D,D,D,W,W,W,W,W,D,7
61,2024-10-20,Holstein Kiel,Union Berlin,0.0,2.0,A,0.0,1.0,A,9.0,6.0,19.0,4.0,3.0,5.0,13.0,0.0,2,11,D,W,L,L,D,W,L,D,L,W,7
62,2024-10-20,Wolfsburg,Bremen,2.0,4.0,A,1.0,1.0,D,13.0,8.0,12.0,12.0,8.0,5.0,5.0,8.0,7,8,W,L,D,W,L,L,L,W,W,D,7
63,2024-10-25,Mainz,M'gladbach,1.0,1.0,D,0.0,0.0,D,11.0,10.0,12.0,12.0,6.0,2.0,7.0,6.0,8,9,L,W,W,L,L,W,W,L,L,L,8
64,2024-10-26,Stuttgart,Holstein Kiel,2.0,1.0,H,1.0,0.0,H,15.0,9.0,15.0,21.0,7.0,3.0,5.0,14.0,9,2,L,L,D,D,D,L,W,D,W,L,8
65,2024-10-26,RB Leipzig,Freiburg,3.0,1.0,H,0.0,1.0,A,11.0,12.0,2.0,8.0,5.0,4.0,2.0,5.0,17,15,W,W,W,W,W,L,D,W,D,W,8
66,2024-10-26,Augsburg,Dortmund,2.0,1.0,H,1.0,1.0,D,10.0,14.0,18.0,12.0,4.0,5.0,10.0,7.0,7,13,L,W,W,L,L,W,L,L,W,W,8
67,2024-10-26,St. Pauli,Wolfsburg,0.0,0.0,D,0.0,0.0,D,5.0,15.0,11.0,16.0,2.0,9.0,4.0,6.0,4,7,L,L,L,W,W,D,D,L,L,L,8
68,2024-10-26,Bremen,Leverkusen,2.0,2.0,D,0.0,1.0,A,12.0,18.0,14.0,13.0,6.0,12.0,9.0,8.0,11,14,W,W,L,D,W,D,L,W,W,W,8
69,2024-10-27,Bochum,Bayern,0.0,5.0,A,0.0,2.0,A,7.0,24.0,17.0,7.0,5.0,11.0,5.0,3.0,1,17,L,W,L,D,L,D,D,W,L,W,8
70,2024-10-27,Union Berlin,Frankfurt,1.0,1.0,D,0.0,1.0,A,8.0,15.0,4.0,11.0,6.0,8.0,0.0,4.0,14,13,W,L,W,D,L,W,W,W,D,W,8
71,2024-10-27,Heidenheim,Hoffenheim,0.0,0.0,D,0.0,0.0,D,12.0,13.0,11.0,17.0,5.0,8.0,4.0,9.0,9,7,L,W,L,D,W,L,L,L,L,L,8
72,2024-11-01,Leverkusen,Stuttgart,0.0,0.0,D,0.0,0.0,D,20.0,17.0,15.0,16.0,13.0,8.0,8.0,5.0,15,12,D,W,W,L,D,D,D,D,W,W,9
